Sales,Date,Region
1638.0,2018-02-06,North
1647.0,2018-02-06,South
1731.0,2018-02-06,East
1557.0,2018-02-06,West
1587.0,2018-02-07,North
1698.0,2018-02-07,South
1542.0,2018-02-07,East
1635.0,2018-02-07,West
1701.0,2018-02-08,West
1503.0,2018-02-08,East
1602.0,2018-02-08,North
1536.0,2018-02-08,South
1758.0,2018-02-09,North
1662.0,2018-02-09,South
1782.0,2018-02-09,East
1515.0,2018-02-09,West
1674.0,2018-02-10,West
1662.0,2018-02-10,North
1557.0,2018-02-10,South
1650.0,2018-02-10,East
1764.0,2018-02-11,West
1563.0,2018-02-11,East
1554.0,2018-02-11,North
1587.0,2018-02-11,South
1758.0,2018-02-12,North
1608.0,2018-02-12,South
1569.0,2018-02-12,East
1653.0,2018-02-12,West
1572.0,2018-02-13,North
1716.0,2018-02-13,South
1773.0,2018-02-13,East
1725.0,2018-02-13,West
1710.0,2018-02-14,South
1512.0,2018-02-14,West
1767.0,2018-02-14,North
1698.0,2018-02-14,East
1746.0,2018-02-15,North
1734.0,2018-02-15,South
1524.0,2018-02-15,East
1614.0,2018-02-15,West
1527.0,2018-02-16,East
1578.0,2018-02-16,North
1782.0,2018-02-16,South
1752.0,2018-02-16,West
1575.0,2018-02-17,West
1641.0,2018-02-17,East
1785.0,2018-02-17,North
1689.0,2018-02-17,South
1644.0,2018-02-18,North
1674.0,2018-02-18,South
1551.0,2018-02-18,East
1737.0,2018-02-18,West
1539.0,2018-02-19,West
1563.0,2018-02-19,North
1647.0,2018-02-19,South
1605.0,2018-02-19,East
1551.0,2018-02-20,West
1500.0,2018-02-20,East
1698.0,2018-02-20,North
1575.0,2018-02-20,South
1665.0,2018-02-21,East
1737.0,2018-02-21,North
1542.0,2018-02-21,South
1548.0,2018-02-21,West
1764.0,2018-02-22,West
1668.0,2018-02-22,East
1632.0,2018-02-22,South
1635.0,2018-02-22,North
1533.0,2018-02-23,North
1563.0,2018-02-23,South
1641.0,2018-02-23,East
1773.0,2018-02-23,West
1725.0,2018-02-24,East
1722.0,2018-02-24,West
1629.0,2018-02-24,North
1698.0,2018-02-24,South
1596.0,2018-02-25,North
1710.0,2018-02-25,South
1635.0,2018-02-25,East
1659.0,2018-02-25,West
1530.0,2018-02-26,West
1686.0,2018-02-26,North
1533.0,2018-02-26,South
1524.0,2018-02-26,East
1578.0,2018-02-27,East
1620.0,2018-02-27,West
1665.0,2018-02-27,North
1695.0,2018-02-27,South
1557.0,2018-02-28,West
1743.0,2018-02-28,East
1593.0,2018-02-28,South
1767.0,2018-02-28,North
1668.0,2018-03-01,North
1782.0,2018-03-01,South
1527.0,2018-03-01,East
1668.0,2018-03-01,West
1746.0,2018-03-02,East
1773.0,2018-03-02,West
1635.0,2018-03-02,North
1569.0,2018-03-02,South
1539.0,2018-03-03,North
1500.0,2018-03-03,South
1569.0,2018-03-03,East
1557.0,2018-03-03,West
1674.0,2018-03-04,West
1773.0,2018-03-04,North
1644.0,2018-03-04,South
1614.0,2018-03-04,East
1746.0,2018-03-05,West
1557.0,2018-03-05,East
1533.0,2018-03-05,North
1653.0,2018-03-05,South
1719.0,2018-03-06,North
1719.0,2018-03-06,South
1659.0,2018-03-06,East
1800.0,2018-03-06,West
1650.0,2018-03-07,West
1581.0,2018-03-07,North
1602.0,2018-03-07,South
1608.0,2018-03-07,East
1668.0,2018-03-08,West
1698.0,2018-03-08,East
1611.0,2018-03-08,North
1530.0,2018-03-08,South
1704.0,2018-03-09,West
1746.0,2018-03-09,North
1524.0,2018-03-09,South
1506.0,2018-03-09,East
1719.0,2018-03-10,South
1746.0,2018-03-10,East
1788.0,2018-03-10,North
1584.0,2018-03-10,West
1590.0,2018-03-11,West
1608.0,2018-03-11,East
1635.0,2018-03-11,South
1692.0,2018-03-11,North
1599.0,2018-03-12,North
1518.0,2018-03-12,South
1602.0,2018-03-12,East
1659.0,2018-03-12,West
1554.0,2018-03-13,East
1515.0,2018-03-13,West
1644.0,2018-03-13,North
1611.0,2018-03-13,South
1515.0,2018-03-14,North
1632.0,2018-03-14,South
1512.0,2018-03-14,East
1776.0,2018-03-14,West
1647.0,2018-03-15,West
1677.0,2018-03-15,North
1503.0,2018-03-15,South
1605.0,2018-03-15,East
1590.0,2018-03-16,East
1767.0,2018-03-16,West
1506.0,2018-03-16,North
1737.0,2018-03-16,South
1593.0,2018-03-17,North
1614.0,2018-03-17,South
1710.0,2018-03-17,East
1662.0,2018-03-17,West
1650.0,2018-03-18,North
1755.0,2018-03-18,South
1698.0,2018-03-18,East
1659.0,2018-03-18,West
1545.0,2018-03-19,West
1500.0,2018-03-19,East
1509.0,2018-03-19,South
1683.0,2018-03-19,North
1647.0,2018-03-20,North
1614.0,2018-03-20,South
1629.0,2018-03-20,East
1677.0,2018-03-20,West
1578.0,2018-03-21,West
1743.0,2018-03-21,North
1569.0,2018-03-21,South
1593.0,2018-03-21,East
1653.0,2018-03-22,East
1578.0,2018-03-22,West
1578.0,2018-03-22,North
1581.0,2018-03-22,South
1764.0,2018-03-23,West
1749.0,2018-03-23,East
1611.0,2018-03-23,South
1761.0,2018-03-23,North
1716.0,2018-03-24,North
1710.0,2018-03-24,South
1800.0,2018-03-24,East
1728.0,2018-03-24,West
1740.0,2018-03-25,East
1707.0,2018-03-25,West
1743.0,2018-03-25,North
1764.0,2018-03-25,South
1509.0,2018-03-26,North
1641.0,2018-03-26,South
1533.0,2018-03-26,East
1752.0,2018-03-26,West
1704.0,2018-03-27,West
1767.0,2018-03-27,North
1590.0,2018-03-27,South
1533.0,2018-03-27,East
1524.0,2018-03-28,East
1629.0,2018-03-28,West
1671.0,2018-03-28,North
1527.0,2018-03-28,South
1722.0,2018-03-29,North
1557.0,2018-03-29,South
1686.0,2018-03-29,East
1779.0,2018-03-29,West
1734.0,2018-03-30,North
1776.0,2018-03-30,South
1554.0,2018-03-30,East
1725.0,2018-03-30,West
1785.0,2018-03-31,West
1605.0,2018-03-31,East
1635.0,2018-03-31,South
1617.0,2018-03-31,North
1761.0,2018-04-01,North
1530.0,2018-04-01,South
1710.0,2018-04-01,East
1506.0,2018-04-01,West
1530.0,2018-04-02,West
1509.0,2018-04-02,North
1797.0,2018-04-02,South
1662.0,2018-04-02,East
1614.0,2018-04-03,East
1533.0,2018-04-03,West
1767.0,2018-04-03,North
1767.0,2018-04-03,South
